Label,Volume,SurfaceArea,MeanBreadth,Sphericity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Box.Z.Min,Box.Z.Max,Centroid.X,Centroid.Y,Centroid.Z,Elli.Center.X,Elli.Center.Y,Elli.Center.Z,Elli.R1,Elli.R2,Elli.R3,Elli.Azim,Elli.Elev,Elli.Roll,Elli.R1/R2,Elli.R1/R3,Elli.R2/R3,InscrBall.Center.X,InscrBall.Center.Y,InscrBall.Center.Z,InscrBall.Radius
82,21,38.597,3.778,0.867,1,100,102,45,48,45,51,101.119,46.452,47.738,101.119,46.452,47.738,3.113,1.728,1.167,69.885,-78.347,90.532,1.802,2.668,1.480,100,46,45,1.000
83,1,3.004,0.751,4.172,1,111,112,76,77,45,46,111.500,76.500,45.500,111.500,76.500,45.500,0.645,0.645,0.645,0.000,0.000,0.000,1.000,1.000,1.000,111,76,45,1.000
84,1,3.004,0.751,4.172,1,73,74,115,116,45,46,73.500,115.500,45.500,73.500,115.500,45.500,0.645,0.645,0.645,0.000,0.000,0.000,1.000,1.000,1.000,73,115,45,1.000
85,7,19.192,3.724,0.784,3,21,24,19,21,47,53,22.357,20.357,50.214,22.357,20.357,50.214,3.816,1.653,0.698,24.625,81.811,-37.605,2.309,5.470,2.369,22,20,47,1.000
86,3,8.280,1.678,1.793,1,64,65,36,37,47,50,64.500,36.500,48.500,64.500,36.500,48.500,1.936,0.645,0.645,0.000,-90.000,90.000,3.000,3.000,1.000,64,36,47,1.000
87,5,13.016,2.180,1.282,2,75,77,37,39,47,50,76.100,38.100,48.300,76.100,38.100,48.300,1.972,1.465,0.645,45.000,-51.631,90.000,1.346,3.055,2.269,75,37,47,1.000
88,1,3.004,0.751,4.172,1,71,72,39,40,47,48,71.500,39.500,47.500,71.500,39.500,47.500,0.645,0.645,0.645,0.000,0.000,0.000,1.000,1.000,1.000,71,39,47,1.000
89,2,5.642,1.214,2.519,1,75,76,41,42,47,49,75.500,41.500,48.000,75.500,41.500,48.000,1.291,0.645,0.645,0.000,-90.000,90.000,2.000,2.000,1.000,75,41,47,1.000
90,1,3.004,0.751,4.172,1,94,95,62,63,47,48,94.500,62.500,47.500,94.500,62.500,47.500,0.645,0.645,0.645,0.000,0.000,0.000,1.000,1.000,1.000,94,62,47,1.000
91,4,10.918,2.141,1.391,1,0,1,66,67,47,51,0.500,66.500,49.000,0.500,66.500,49.000,2.582,0.645,0.645,0.000,-90.000,90.000,4.000,4.000,1.000,0,66,47,1.000
92,1,3.004,0.751,4.172,1,26,27,100,101,47,48,26.500,100.500,47.500,26.500,100.500,47.500,0.645,0.645,0.645,0.000,0.000,0.000,1.000,1.000,1.000,26,100,47,1.000
93,1,3.004,0.751,4.172,1,42,43,20,21,48,49,42.500,20.500,48.500,42.500,20.500,48.500,0.645,0.645,0.645,0.000,0.000,0.000,1.000,1.000,1.000,42,20,48,1.000
94,2,5.642,1.214,2.519,1,3,4,22,23,48,50,3.500,22.500,49.000,3.500,22.500,49.000,1.291,0.645,0.645,0.000,-90.000,90.000,2.000,2.000,1.000,3,22,48,1.000
95,1,3.004,0.751,4.172,1,118,119,32,33,48,49,118.500,32.500,48.500,118.500,32.500,48.500,0.645,0.645,0.645,0.000,0.000,0.000,1.000,1.000,1.000,118,32,48,1.000
96,1,3.004,0.751,4.172,1,122,123,35,36,48,49,122.500,35.500,48.500,122.500,35.500,48.500,0.645,0.645,0.645,0.000,0.000,0.000,1.000,1.000,1.000,122,35,48,1.000
97,2,5.642,1.214,2.519,1,29,30,92,93,48,50,29.500,92.500,49.000,29.500,92.500,49.000,1.291,0.645,0.645,0.000,-90.000,90.000,2.000,2.000,1.000,29,92,48,1.000
98,1,3.004,0.751,4.172,1,68,69,119,120,48,49,68.500,119.500,48.500,68.500,119.500,48.500,0.645,0.645,0.645,0.000,0.000,0.000,1.000,1.000,1.000,68,119,48,1.000
99,1,3.004,0.751,4.172,1,13,14,6,7,49,50,13.500,6.500,49.500,13.500,6.500,49.500,0.645,0.645,0.645,0.000,0.000,0.000,1.000,1.000,1.000,13,6,49,1.000
100,1,3.004,0.751,4.172,1,11,12,27,28,49,50,11.500,27.500,49.500,11.500,27.500,49.500,0.645,0.645,0.645,0.000,0.000,0.000,1.000,1.000,1.000,11,27,49,1.000
101,1,3.004,0.751,4.172,1,115,116,29,30,49,50,115.500,29.500,49.500,115.500,29.500,49.500,0.645,0.645,0.645,0.000,0.000,0.000,1.000,1.000,1.000,115,29,49,1.000
102,1,3.004,0.751,4.172,1,96,97,75,76,49,50,96.500,75.500,49.500,96.500,75.500,49.500,0.645,0.645,0.645,0.000,0.000,0.000,1.000,1.000,1.000,96,75,49,1.000
103,1,3.004,0.751,4.172,1,32,33,93,94,49,50,32.500,93.500,49.500,32.500,93.500,49.500,0.645,0.645,0.645,0.000,0.000,0.000,1.000,1.000,1.000,32,93,49,1.000
104,1,3.004,0.751,4.172,1,89,90,1,2,50,51,89.500,1.500,50.500,89.500,1.500,50.500,0.645,0.645,0.645,0.000,0.000,0.000,1.000,1.000,1.000,89,1,50,1.000
105,1,3.004,0.751,4.172,1,74,75,47,48,50,51,74.500,47.500,50.500,74.500,47.500,50.500,0.645,0.645,0.645,0.000,0.000,0.000,1.000,1.000,1.000,74,47,50,1.000
106,1,3.004,0.751,4.172,1,4,5,77,78,51,52,4.500,77.500,51.500,4.500,77.500,51.500,0.645,0.645,0.645,0.000,0.000,0.000,1.000,1.000,1.000,4,77,51,1.000
107,1,3.004,0.751,4.172,1,37,38,2,3,52,53,37.500,2.500,52.500,37.500,2.500,52.500,0.645,0.645,0.645,0.000,0.000,0.000,1.000,1.000,1.000,37,2,52,1.000
108,3,8.280,1.678,1.793,1,35,36,4,5,52,55,35.500,4.500,53.500,35.500,4.500,53.500,1.936,0.645,0.645,0.000,-90.000,90.000,3.000,3.000,1.000,35,4,52,1.000
109,1,3.004,0.751,4.172,1,30,31,16,17,52,53,30.500,16.500,52.500,30.500,16.500,52.500,0.645,0.645,0.645,0.000,0.000,0.000,1.000,1.000,1.000,30,16,52,1.000
110,2,5.642,1.214,2.519,1,13,14,72,73,52,54,13.500,72.500,53.000,13.500,72.500,53.000,1.291,0.645,0.645,0.000,-90.000,90.000,2.000,2.000,1.000,13,72,52,1.000
111,3,8.071,1.544,1.936,1,22,24,19,20,53,55,23.167,19.500,54.167,23.167,19.500,54.167,1.443,0.986,0.645,0.000,45.000,-90.000,1.464,2.236,1.528,23,19,53,1.000
112,1,3.004,0.751,4.172,1,29,30,0,1,54,55,29.500,0.500,54.500,29.500,0.500,54.500,0.645,0.645,0.645,0.000,0.000,0.000,1.000,1.000,1.000,29,0,54,1.000
113,1,3.004,0.751,4.172,1,25,26,51,52,58,59,25.500,51.500,58.500,25.500,51.500,58.500,0.645,0.645,0.645,0.000,0.000,0.000,1.000,1.000,1.000,25,51,58,1.000
